OBJECTID,LM_ID,LM_NAME,CATEGORY,LM_TYPE,SDA_CAT,STR_ADDR,UNIT,MUN,PR,POSTAL,PHONE,WEBSITE,Type,ExtDay,WARDNUM,ROPADRID,x,y
97,CC-PLP-043,Fallingdale (PLASP),Social Services,Child Care (PLASP),Child Care Centre,510 Clark Blvd,,Brampton,ON,L6T 2E4,905-890-1711,https://peelchildcare.cioc.ca/record/CDR1051,School-Based Centre,Yes,8,181497,-8873268.16098372,5422677.61727358
98,CC-PLP-044,Father C.W. Sullivan (PLASP),Social Services,Child Care (PLASP),Child Care Centre,62 Seaborn Rd,,Brampton,ON,L6V 2C1,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0749,School-Based Centre,No,1,63600,-8877391.32009971,5420073.3632124
99,CC-PLP-045,Father Clair Tipping (PLASP),Social Services,Child Care (PLASP),Child Care Centre,25 Mountainberry Rd,,Brampton,ON,L6R 1J3,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0741,School-Based Centre,Yes,10,267845,-8875692.27326303,5429124.95695415
100,CC-PLP-046,Father Daniel Zanon (PLASP),Social Services,Child Care (PLASP),Child Care Centre,450 Hillcrest Ave,,Mississauga,ON,L5B 4J3,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0679,School-Based Centre,Yes,7,323755,-8864430.11216256,5399586.51848784
101,CC-YMC-022,Father Francis McSpiritt (YMCA),Social Services,Child Care (YMCA),Child Care Centre,55 Lexington Rd,,Brampton,ON,L6P 2B1,905-451-1400 ext 483,https://peelchildcare.cioc.ca/record/CDR0847,School-Based Centre,Yes,8,287917,-8871983.7837563,5430625.95230168
102,CC-PLP-047,Father Michael Goetz Early Learning Centre (PLASP),Social Services,Child Care (PLASP),Child Care Centre,330 Central Pky W,,Mississauga,ON,L5B 3K6,905-615-0236,https://peelchildcare.cioc.ca/record/CDR0483,School-Based Centre,No,7,,-8865140.44809803,5400967.62609019
103,CC-PLP-048,Fernforest (PLASP),Social Services,Child Care (PLASP),Child Care Centre,275 Fernforest Dr,,Brampton,ON,L6R 1L9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0762,School-Based Centre,Yes,9,218160,-8878597.34408346,5426287.97524991
104,CC-OTH-084,First Friends Preschool and Daycare,Social Services,Child Care (Other),Child Care Centre,860 North Park Dr ,12,Brampton,ON,L6S 4N5,905-457-8444,https://peelchildcare.cioc.ca/record/CDR0806,Community-Based For-Profit Centre,No,7,293523,-8877690.10525789,5423759.43274097
105,CC-OTH-202,Songbirds Montessori School - Fisherman Drive,Social Services,Child Care (Other),Child Care Centre,2 Fisherman Dr,11A,Brampton,ON,L7A 1B5,905-846-4044,https://peelchildcare.cioc.ca/record/CDR1365,Community-Based For-Profit Centre,No,2,319042,-8883377.71574011,5421479.44171461
106,CC-OTH-085,Fletcher's Creek (Fletcher's Creek Children's Centre),Social Services,Child Care (Other),Child Care Centre,92 Malta Ave,,Brampton,ON,L6Y 4C8,905-452-9299,https://peelchildcare.cioc.ca/record/CDR0407,School-Based Centre,Yes,4,200725,-8875550.68298059,5412724.08440661
107,CC-PLP-049,Floradale (PLASP),Social Services,Child Care (PLASP),Child Care Centre,210 Paisley Blvd W,,Mississauga,ON,L5B 2A4,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0695,School-Based Centre,Yes,7,23062,-8862771.1599129,5399380.96798188
108,CC-PLP-050,Folkstone (PLASP),Social Services,Child Care (PLASP),Child Care Centre,104 Folkstone Cres,,Brampton,ON,L6T 3M5,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0747,School-Based Centre,Yes,8,187846,-8872899.8962718,5423766.57770903
109,CC-PLP-051,Forest Ave. (PLASP),Social Services,Child Care (PLASP),Child Care Centre,20 Forest Ave,,Mississauga,ON,L5G 1K7,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0836,School-Based Centre,Yes,1,138997,-8859058.76803098,5397301.19761066
110,CC-PLP-052,Forest Glen (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3400 Ponytrail Dr,,Mississauga,ON,L4X 1V5,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0687,School-Based Centre,Yes,3,28640,-8859807.37829817,5407955.42007928
111,CC-OTH-086,Forum Italia,Social Services,Child Care (Other),Child Care Centre,195 Forum Dr,,Mississauga,ON,L4Z 3M5,905-507-2713,https://peelchildcare.cioc.ca/record/CDR0503,Community-Based Non-Profit Centre,No,5,,-8866674.39571066,5405591.18833659
112,CC-OTH-087,FUN School,Social Services,Child Care (Other),Child Care Centre,44 Port St W,,Mississauga,ON,L5H 1C9,905-274-4386,https://peelchildcare.cioc.ca/record/CDR0586,Community-Based Non-Profit Centre,No,1,,-8859654.01324794,5395852.01968077
113,CC-OTH-088,Fun to Learn Montessori,Social Services,Child Care (Other),Child Care Centre,1840 Argentia Rd,,Mississauga,ON,L5N 1P9,905-812-9606,https://peelchildcare.cioc.ca/record/CDR0547,Community-Based For-Profit Centre,No,11,275331,-8876233.95554084,5404209.32942249
114,CC-OTH-091,Garderie Du Cercle De L'Amitie (Carrefour des Jeunes),Social Services,Child Care (French),Child Care Centre,375 Centre St N,,Brampton,ON,L6V 4N4,905-459-8008,https://peelchildcare.cioc.ca/record/MAL0127,School-Based Centre,Yes,1,297672,-8880194.684,5420215.19464599
115,CC-YMC-023,Garthwood Park (YMCA),Social Services,Child Care (YMCA),Child Care Centre,3245 Colonial Dr,,Mississauga,ON,L5L 4K3,905-607-2670,https://peelchildcare.cioc.ca/record/CDR0469,School-Based Centre,Yes,8,,-8871399.65189938,5392043.9879326
116,CC-PLP-053,Georges Vanier (PLASP),Social Services,Child Care (PLASP),Child Care Centre,28 Finchgate Blvd,,Brampton,ON,L6T 3H9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0764,School-Based Centre,Yes,8,172608,-8873448.49089339,5423385.28809783
117,CC-PLP-054,Glendale (PLASP),Social Services,Child Care (PLASP),Child Care Centre,35 Sunset Blvd,,Brampton,ON,L6X 1X1,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0757,School-Based Centre,Yes,1,231024,-8880679.2640848,5417198.31565774
118,CC-OTH-094,Glenroy Preschool Centre,Social Services,Child Care (Other),Child Care Centre,755 Bloor St,,Mississauga,ON,L4Y 2M7,905-277-3323,https://peelchildcare.cioc.ca/record/CDR0448,Community-Based For-Profit Centre,No,3,,-8861979.55021061,5404179.53134898
119,CC-YMC-024,Goldcrest (YMCA),Social Services,Child Care (YMCA),Child Care Centre,24 Goldcrest Rd,,Brampton,ON,L6S 1G3,905-943-9622 ext 750,https://peelchildcare.cioc.ca/record/CDR1056,School-Based Centre,Yes,8,77366,-8874489.76854909,5423754.72238225
120,CC-OTH-095,Golden Orchard Montessori School,Social Services,Child Care (Other),Child Care Centre,1170 Tynegrove Rd,,Mississauga,ON,L4W 3B2,905-629-7555,https://peelchildcare.cioc.ca/record/CDR0447,Community-Based For-Profit Centre,No,3,30726,-8861921.62332316,5406591.00679221
121,CC-PLP-055,Good Shepherd (PLASP),Social Services,Child Care (PLASP),Child Care Centre,28 Red River Dr,,Brampton,ON,L6R 2H9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0772,School-Based Centre,Yes,9,329656,-8877341.76978405,5427808.97739048
122,CC-YMC-025,Great Lakes (YMCA),Social Services,Child Care (YMCA),Child Care Centre,285 Great Lakes Dr,,Brampton,ON,L6R 2R8,905-451-1400 ext 483,https://peelchildcare.cioc.ca/record/CDR0892,School-Based Centre,Yes,9,279800,-8879746.66771452,5424785.77804957
123,CC-YMC-009,Central Park (YMCA),Social Services,Child Care (YMCA),Child Care Centre,1100 Central Park Dr,,Brampton,ON,L6S 2C9,905-793-5970,https://peelchildcare.cioc.ca/record/CDR0382,Community-Based Non-Profit Centre,No,8,167829,-8874081.66319793,5424672.36794748
124,CC-YMC-026,Grenoble (YMCA),Social Services,Child Care (YMCA),Child Care Centre,33 Greenbriar Rd,,Brampton,ON,L6S 1V8,905-943-9622 ext 750,https://peelchildcare.cioc.ca/record/CDR1055,School-Based Centre,Yes,8,177206,-8874105.05496484,5425008.58699752
125,CC-PLP-056,Guardian Angels (PLASP),Social Services,Child Care (PLASP),Child Care Centre,62 Heatherdale Dr,,Brampton,ON,L7A 2H4,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0776,School-Based Centre,Yes,6,225169,-8885455.62874209,5417066.67543593
126,CC-PLP-057,Hanover (PLASP),Social Services,Child Care (PLASP),Child Care Centre,215 Hanover Rd,,Brampton,ON,L6S 1B6,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0750,School-Based Centre,Yes,7,55521,-8875387.92566806,5422035.76769304
127,CC-OTH-098,Happy Life Centre,Social Services,Child Care (Other),Child Care Centre,68 Rutherford Rd N,,Brampton,ON,L6V 2J1,905-457-1581,https://peelchildcare.cioc.ca/record/CDR0408,Community-Based Non-Profit Centre,No,1,,-8877366.51257976,5419799.82460403
128,CC-PLP-058,Hawthorn (PLASP),Social Services,Child Care (PLASP),Child Care Centre,2473 Rosemary Dr,,Mississauga,ON,L5C 1X1,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0649,School-Based Centre,Yes,7,121196,-8864915.24316533,5397274.17195223
129,CC-OTH-030,BrightPath - Matheson West,Social Services,Child Care (Other),Child Care Centre,155 Matheson Blvd W,C,Mississauga,ON,L5R 3L5,905-568-4770,https://peelchildcare.cioc.ca/record/CDR0504,Community-Based For-Profit Centre,No,5,3970,-8869202.74851065,5406259.91899948
130,CC-OTH-032,BrightPath - Milverton,Social Services,Child Care (Other),Child Care Centre,100 Milverton Dr,,Mississauga,ON,L5R 4H1,905-568-1371,https://peelchildcare.cioc.ca/record/CDR0543,Community-Based For-Profit Centre,No,5,105036,-8869279.83351456,5406552.89798203
131,CC-OTH-099,Hearts in Bloom Academy,Social Services,Child Care (Other),Child Care Centre,6785 Millcreek Dr,,Mississauga,ON,L5N 5M4,905-785-2671,https://peelchildcare.cioc.ca/record/CDR0532,Community-Based Non-Profit Centre,No,9,,-8877962.92315729,5403095.98274687
132,CC-FDC-012,Hickory Wood (Family Day Care),Social Services,Child Care (Family Day),Child Care Centre,630 Ray Lawson Blvd,,Brampton,ON,L6Y 4W8,416-922-3434,https://peelchildcare.cioc.ca/record/CDR0409,School-Based Centre,Yes,4,,-8876981.68499013,5410914.27626399
133,CC-PLP-061,Hilldale (PLASP),Social Services,Child Care (PLASP),Child Care Centre,100 Hilldale Cres,,Brampton,ON,L6S 2N3,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0752,School-Based Centre,Yes,7,278004,-8875309.97046032,5423632.77737646
134,CC-PLP-062,Holy Cross (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3615 Morning Star Dr,,Mississauga,ON,L4T 1Y4,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0656,School-Based Centre,Yes,5,95191,-8865124.08006625,5422961.76706812
135,CC-OTH-190,Sadochok Ukrainian Nursery School Mississauga,Social Services,Child Care (Other),Child Care Centre,3625 Cawthra Rd,,Mississauga,ON,L5A 2Y4,905-276-4815,https://peelchildcare.cioc.ca/record/CDR0443,Community-Based For-Profit Centre,No,3,26633,-8862862.56275316,5404803.91835211
136,CC-YMC-031,Holy Family (YMCA),Social Services,Child Care (YMCA),Child Care Centre,61 Allan Dr,,Caledon,ON,L7E 1P7,647-401-5057,https://peelchildcare.cioc.ca/record/CDR0607,School-Based Centre,Yes,5,216847,-8875102.81688489,5445915.43208153
137,CC-FDC-010,Family Day Care Services - Holy Spirit Early Learning & Child Care Centre,Social Services,Child Care (Family Day),Child Care Centre,25 Bloomsbury Ave,,Brampton,ON,L6P 1W9,416-922-3434,https://peelchildcare.cioc.ca/record/CDR0844,School-Based Centre,Yes,10,280340,-8875468.67701139,5432176.72615957
138,CC-PLP-063,Homestead (PLASP),Social Services,Child Care (PLASP),Child Care Centre,99 Fletchers Creek Blvd,,Brampton,ON,L6X 4T7,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0775,School-Based Centre,Yes,5,241372,-8883144.08515314,5417342.66695098
139,CC-YMC-032,Howden (YMCA),Social Services,Child Care (YMCA),Child Care Centre,355 Howden Blvd,,Brampton,ON,L6S4L6,905-458-7873,https://peelchildcare.cioc.ca/record/CDR0383,Community-Based Non-Profit Centre,No,7,173153,-8876665.90021162,5421889.57825909
140,CC-YMC-033,Humberview (YMCA),Social Services,Child Care (YMCA),Child Care Centre,135 Kingsview Dr,,Caledon,ON,L7E 3V8,416-450-4606,https://peelchildcare.cioc.ca/record/CDR0601,School-Based Centre,No,6,201498,-8876350.12473453,5448230.31593382
141,CC-PLP-064b,Huntington Ridge Early Learning Centre (PLASP),Social Services,Child Care (PLASP),Child Care Centre,345 Huntington Ridge Dr,,Mississauga,ON,L5R 1R6,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0557,School-Based Centre,No,4,,-8867378.59223374,5403278.19483703
142,CC-YMC-034,Ingleborough (YMCA),Social Services,Child Care (YMCA),Child Care Centre,60 Ingleborough Dr,,Brampton,ON,L6S 0X5,905-943-9622 ext 750,https://peelchildcare.cioc.ca/record/CDR1057,School-Based Centre,Yes,5,296039,-8883684.13472466,5412926.08068569
143,CC-PLP-066,James Bolton (PLASP),Social Services,Child Care (PLASP),Child Care Centre,225 Kingsview Dr,,Caledon,ON,L7E 3X8,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0603,School-Based Centre,Yes,6,18056,-8876733.52197244,5447920.00908587
144,CC-PLP-067,James Potter (PLASP),Social Services,Child Care (PLASP),Child Care Centre,9775 Creditview Rd,,Brampton,ON,L6X 0H7,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0787,School-Based Centre,Yes,5,306225,-8884700.24580665,5414950.55384404
145,CC-PLP-068,Janet McDougald (PLASP),Social Services,Child Care (PLASP),Child Care Centre,498 Hartsdale Ave,,Mississauga,ON,L5G 2G6,905-890-1711,https://peelchildcare.cioc.ca/record/CDR1050,School-Based Centre,Yes,1,139170,-8858683.71691421,5399469.53364478
146,CC-PLP-069,Jefferson (PLASP),Social Services,Child Care (PLASP),Child Care Centre,48 Jefferson Rd,,Brampton,ON,L6S 2N9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0756,School-Based Centre,Yes,8,287916,-8875538.40890124,5425029.94185713
147,CC-OTH-104,Junior Scholars Preschool,Social Services,Child Care (Other),Child Care Centre,1400 Lakeshore Rd W,"1,2,3",Mississauga,ON,L5L 2K8,905-823-7575,https://peelchildcare.cioc.ca/record/CDR0573,Community-Based For-Profit Centre,No,2,39624,-8862671.59734861,5392150.51711022
148,CC-OTH-105,Kaban Montessori Preschool,Social Services,Child Care (Other),Child Care Centre,2449 Dunwin Dr,,Mississauga,ON,L5L 1T1,905-569-3112,https://peelchildcare.cioc.ca/record/CDR0973,Community-Based For-Profit Centre,Yes,8,324361,-8869944.38561933,5393184.7658957
149,CC-OTH-106,Kaban Montessori School,Social Services,Child Care (Other),Child Care Centre,2465 Dunwin Dr ,"1A,1B",Mississauga,ON,L5L 1T4,905-569-3112,https://peelchildcare.cioc.ca/record/CDR0973,Community-Based For-Profit Centre,No,8,400186,-8869942.33592981,5393109.75078651
150,CC-OTH-107,Kendellhurst Academy Inc.,Social Services,Child Care (Other),Child Care Centre,175 Queen St S,,Mississauga,ON,L5M 1L2,905-567-1070,https://peelchildcare.cioc.ca/record/CDR0545,Community-Based For-Profit Centre,No,11,248372,-8873719.8052733,5401000.98066891
151,CC-YMC-036,Kenollie (YMCA),Social Services,Child Care (YMCA),Child Care Centre,1376 Glenwood Dr,,Mississauga,ON,L5G 2X1,416-509-5200,https://peelchildcare.cioc.ca/record/CDR0834,School-Based Centre,Yes,1,288025,-8860810.51367209,5397167.97016969
152,CC-OTH-006,Akal Child Care,Social Services,Child Care (Other),Child Care Centre,4535 Ebenezer Rd ,2,Brampton,ON,L6P 2P7,905-913-7333,https://peelchildcare.cioc.ca/record/CDR1632,Community-Based For-Profit Centre,No,8,283023,-8867885.54390687,5430398.01059308
153,CC-OTH-110,Kids & Company - Robert Speck Parkway,Social Services,Child Care (Other),Child Care Centre,1 Robert Speck Pky,110,Mississauga,ON,L4Z 3M3,905-848-5437,https://peelchildcare.cioc.ca/record/CDR0515,Community-Based For-Profit Centre,No,4,7683,-8865327.62361468,5403294.47171749
154,CC-OTH-114,Kids Palace Nursery School,Social Services,Child Care (Other),Child Care Centre,20 Mississauga Valley Blvd,,Mississauga,ON,L5A 3S1,905-275-3657,https://peelchildcare.cioc.ca/record/CDR0449,Community-Based For-Profit Centre,No,4,32436,-8864016.92764319,5402223.07712877
155,CC-OTH-115,Kids Zone Childcare Centre,Social Services,Child Care (Other),Child Care Centre,2275 Speakman Dr,"4,5",Mississauga,ON,L5K 1B1,905-403-9351,https://peelchildcare.cioc.ca/record/CDR0493,Community-Based For-Profit Centre,No,2,126091,-8867519.88127582,5391729.22810804
156,CC-OTH-118,Kinder Kampus 3,Social Services,Child Care (Other),Child Care Centre,6981 Millcreek Dr ,12,Mississauga,ON,L5N 6B8,905-567-4780,https://peelchildcare.cioc.ca/record/CDR0561,Community-Based For-Profit Centre,No,9,260256,-8878746.68156719,5403427.8906006
157,CC-PLP-071,Kindree (PLASP),Social Services,Child Care (PLASP),Child Care Centre,7370 Terragar Blvd,,Mississauga,ON,L5N 7L8,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0730,School-Based Centre,Yes,10,248989,-8882089.22274866,5401154.95022305
158,CC-OTH-121,KRT Kiddies Kollege,Social Services,Child Care (Other),Child Care Centre,141 Kennedy Rd N,,Brampton,ON,L6V 1X9,905-459-2300,https://peelchildcare.cioc.ca/record/CDR0411,Community-Based Non-Profit Centre,No,1,86080,-8878859.17363364,5419595.57783004
159,CC-PLP-073,Lancaster (PLASP),Social Services,Child Care (PLASP),Child Care Centre,7425 Netherwood Rd,,Mississauga,ON,L4T 2N7,905-791-2017,https://peelchildcare.cioc.ca/record/CDR0593,School-Based Centre,Yes,5,,-8866321.53854333,5421887.49235086
160,CC-YMC-037,Larkspur (YMCA),Social Services,Child Care (YMCA),Child Care Centre,111 Larkspur Rd,,Brampton,ON,L6S 1X2,416-716-1352,https://peelchildcare.cioc.ca/record/CDR0845,School-Based Centre,Yes,9,336449,-8877664.56389863,5427508.94016291
161,CC-OTH-125,Learning Jungle School,Social Services,Child Care (Other),Child Care Centre,78 Agnes St,,Mississauga,ON,L5B 1J7,905-273-7023,https://peelchildcare.cioc.ca/record/CDR0513,Community-Based For-Profit Centre,No,7,219449,-8863159.71707373,5400545.55477421
162,CC-PLP-074,Lester B. Pearson (PLASP),Social Services,Child Care (PLASP),Child Care Centre,140 Howden Blvd,,Brampton,ON,L6S 2G1,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0754,School-Based Centre,Yes,7,300914,-8875372.53104427,5422674.91454109
163,CC-YMC-038,Levi Creek (YMCA),Social Services,Child Care (YMCA),Child Care Centre,1525 Samuelson Cir,,Mississauga,ON,L5N 7Z1,905-564-9879 ext 7,https://peelchildcare.cioc.ca/record/CDR0862,School-Based Centre,Yes,11,300029,-8877455.1122141,5407253.08669935
164,CC-OTH-127,Little Angels Christian Child Care - 1,Social Services,Child Care (Other),Child Care Centre,1245 Eglinton Ave W,,Mississauga,ON,L5V 2M4,905-814-7774 ext 278,https://peelchildcare.cioc.ca/record/CDR0538,Community-Based Non-Profit Centre,No,6,,-8870369.02743399,5400704.83007563
165,CC-OTH-128,Little Angels Christian Child Care - 2,Social Services,Child Care (Other),Child Care Centre,6341 Mississauga Rd,,Mississauga,ON,L5N 1A5,905-567-6800,https://peelchildcare.cioc.ca/record/CDR0863,Community-Based Non-Profit Centre,No,11,,-8875462.77319063,5403019.74820596
166,CC-OTH-131,Little Folks Montessori Inc.,Social Services,Child Care (Other),Child Care Centre,1555 Steeles Ave W,,Brampton,ON,L6Y 5J9,905-455-1264,https://peelchildcare.cioc.ca/record/CDR0431,Community-Based For-Profit Centre,No,6,264886,-8879651.47206471,5409054.25060189
167,CC-OTH-132,Little Folks Montessori Pre-School Inc.,Social Services,Child Care (Other),Child Care Centre,3315 Fieldgate Dr,,Mississauga,ON,L4X 2J3,905-624-6414,https://peelchildcare.cioc.ca/record/CDR0485,Community-Based For-Profit Centre,No,3,97426,-8859526.24711293,5407273.55746374
168,CC-OTH-136,Little Stars Daycare,Social Services,Child Care (Other),Child Care Centre,527 Van Kirk Dr ,105,Brampton,ON,L7A 0P4,905-970-0638,https://peelchildcare.cioc.ca/record/CDR0968,Community-Based For-Profit Centre,No,2,158444,-8886864.33423881,5423150.12253102
169,CC-OTH-137,Little Superstars Montessori & DayCare,Social Services,Child Care (Other),Child Care Centre,3022 Novar Rd,,Mississauga,ON,L5B 1S4,905-232-0059,https://peelchildcare.cioc.ca/record/CDR0488,Community-Based For-Profit Centre,No,7,247531,-8863254.74576871,5400409.04823454
170,CC-PLP-076,Lorne Park (PLASP),Social Services,Child Care (PLASP),Child Care Centre,1325 Indian Rd,,Mississauga,ON,L5H 1S3,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0662,School-Based Centre,Yes,2,125871,-8864096.93223711,5394092.6348677
171,CC-OTH-142,Lullaboo Nursery and Child Care - Mississauga,Social Services,Child Care (Other),Child Care Centre,5329 Ninth Line,,Mississauga,ON,L5M 5X5,905-936-7162,https://peelchildcare.cioc.ca/record/CDR0886,Community-Based For-Profit Centre,No,10,,-8877033.83641695,5395071.9311711
172,CC-YMC-048,Morningstar (YMCA),Social Services,Child Care (YMCA),Child Care Centre,3500 Morning Star Dr,,Mississauga,ON,L4T 1Y2,905-677-8929,https://peelchildcare.cioc.ca/record/CDR0590,Community-Based Non-Profit Centre,No,5,63864,-8865457.83458593,5422690.20899823
173,CC-PLP-078,Maplewood (PLASP),Social Services,Child Care (PLASP),Child Care Centre,2650 Gananoque Dr,,Mississauga,ON,L5N 2R2,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0706,School-Based Centre,Yes,9,233692,-8879020.19912171,5402769.53567085
174,CC-PLP-079,Marvin Heights (PLASP),Social Services,Child Care (PLASP),Child Care Centre,7455 Redstone Rd,,Mississauga,ON,L4T 2B3,905-890-1711,https://peelchildcare.cioc.ca/record/CDR1052,School-Based Centre,Yes,5,23422,-8866904.17992533,5421505.6502898
175,CC-PLP-080,Massey Street (PLASP),Social Services,Child Care (PLASP),Child Care Centre,95 Massey St,,Brampton,ON,L6S 3A3,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0759,School-Based Centre,Yes,7,174342,-8877364.95347505,5424964.05230677
176,CC-PLP-081,McBride (PLASP),Social Services,Child Care (PLASP),Child Care Centre,974 McBride Ave,,Mississauga,ON,L5C 1L6,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0651,School-Based Centre,Yes,6,277595,-8866213.23449978,5398163.34835064
177,CC-PLP-083,McKinnon (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3270 Tacc Dr,,Mississauga,ON,L5M 0H3,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0721,School-Based Centre,Yes,10,291067,-8875928.68588188,5396193.85390446
178,CC-YMC-042,Meadowvale Village (YMCA),Social Services,Child Care (YMCA),Child Care Centre,890 Old Derry Rd W,,Mississauga,ON,L5W 1A1,416-569-7363,https://peelchildcare.cioc.ca/record/CDR0860,School-Based Centre,Yes,11,210662,-8874887.09360196,5407972.1737295
179,CC-PLP-084,Metropolitan Andrei (PLASP),Social Services,Child Care (PLASP),Child Care Centre,515 Mississauga Valley Blvd,,Mississauga,ON,L5A 3G6,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0690,School-Based Centre,Yes,4,267585,-8862520.4710966,5402630.75369659
180,CC-YMC-044,Middlebury (YMCA),Social Services,Child Care (YMCA),Child Care Centre,5482 Middlebury Dr,,Mississauga,ON,L5M 5E8,905-821-2169,https://peelchildcare.cioc.ca/record/CDR0506,School-Based Centre,Yes,9,289147,-8874636.10518172,5398429.49935308
181,CC-OTH-148,Millcreek Kinder Kampus,Social Services,Child Care (Other),Child Care Centre,6685 Millcreek Dr ,10,Mississauga,ON,L5N 5M5,905-567-1111,https://peelchildcare.cioc.ca/record/CDR0521,Community-Based For-Profit Centre,No,9,400185,-8877333.3206042,5402996.52366957
182,CC-PLP-085,Miller's Grove (PLASP),Social Services,Child Care (PLASP),Child Care Centre,6325 Miller's Grove,,Mississauga,ON,L5N 3C8,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0724,School-Based Centre,Yes,9,13229,-8878371.66341964,5399486.61157893
183,CC-OTH-149,Mini Skool - A Child's Place Inc.,Social Services,Child Care (Other),Child Care Centre,2501 Truscott Dr,,Mississauga,ON,L5J 2B3,905-823-3000,https://peelchildcare.cioc.ca/record/CDR0666,Community-Based Non-Profit Centre,No,2,32393,-8866592.59434942,5389949.37560995
184,CC-OTH-150,Mini Skool - Bramalea,Social Services,Child Care (Other),Child Care Centre,27 King's Cross Rd,,Brampton,ON,L6T 3V5,905-792-2230,https://peelchildcare.cioc.ca/record/CDR0384,Community-Based Non-Profit Centre,No,7,172383,-8874026.7203227,5422244.46752003
185,CC-OTH-151,Mini Skool - Brampton,Social Services,Child Care (Other),Child Care Centre,178 Church St E,,Brampton,ON,L6V 1H1,905-457-1248,https://peelchildcare.cioc.ca/record/CDR0438,Community-Based Non-Profit Centre,No,1,56778,-8878157.80373311,5418709.77535589
186,CC-OTH-152,Mini Skool - Bromsgrove,Social Services,Child Care (Other),Child Care Centre,2488 Bromsgrove Rd,,Mississauga,ON,L5J 1L8,905-823-3000,https://peelchildcare.cioc.ca/record/CDR0567,Community-Based Non-Profit Centre,No,2,39387,-8866050.26422597,5389224.48733464
187,CC-OTH-153,Mini Skool - Cawthra,Social Services,Child Care (Other),Child Care Centre,3153 Cawthra Rd,,Mississauga,ON,L5A 2X4,905-276-3933,https://peelchildcare.cioc.ca/record/CDR0482,Community-Based Non-Profit Centre,No,3,30101,-8861456.35977813,5403455.55227989
188,CC-OTH-155,Mini Skool - Clubhouse (106B),Social Services,Child Care (Other),Child Care Centre,420 Balmoral Dr,,Brampton,ON,L6T 1V9,905-792-2230,https://peelchildcare.cioc.ca/record/CDR0893,Community-Based Non-Profit Centre,No,7,191306,-8873128.36208002,5421278.13137048
189,CC-OTH-156,Mississauga Children Montessori - Crosscurrent Campus,Social Services,Child Care (Other),Child Care Centre,2980 Crosscurrent Dr,"1,2",Mississauga,ON,L5C 7C7,905-785-0144,https://peelchildcare.cioc.ca/record/CDR0560,Community-Based For-Profit Centre,No,9,,-8880970.08930093,5402920.08315675
190,CC-OTH-157,Mississauga Civic Centre Workplace Day Care,Social Services,Child Care (Other),Child Care Centre,300 City Centre Dr,,Mississauga,ON,L5B 3C1,905-896-5633,https://peelchildcare.cioc.ca/record/CDR0451,Community-Based Non-Profit Centre,No,4,,-8866007.06720193,5401988.57506018
191,CC-OTH-134,Little Leaf Daycare,Social Services,Child Care (Other),Child Care Centre,5685 Whittle Rd,,Mississauga,ON,L4Z 3P8,905-568-4069,https://peelchildcare.cioc.ca/record/CDR0539,Community-Based For-Profit Centre,No,5,24946,-8868602.2372362,5407164.77377384
192,CC-YMC-047,Mississauga YMCA,Social Services,Child Care (YMCA),Child Care Centre,325 Burnhamthorpe Rd W,,Mississauga,ON,L5B 3R2,905-897-6801 ext 440,https://peelchildcare.cioc.ca/record/CDR0452,Community-Based Non-Profit Centre,No,4,2489,-8865962.99546553,5401730.01279985
193,CC-OTH-161,MontessoriWorks - The School for Me,Social Services,Child Care (Other),Child Care Centre,3050 Artesian Dr ,"1,2,3",Mississauga,ON,L5M 7P5,905-569-1000,https://peelchildcare.cioc.ca/record/CDR0550,Community-Based For-Profit Centre,No,8,278397,-8873856.3391872,5395399.78613649
