X,Y,OBJECTID,PNT_GIS_ID,NAME,ORG_NAME,CATEGORY,POSTAL_CODE,PHONE_NO,PHONE_EXT,MAIN_INTERSECTION,TYPE,SUBSIDIZED,CWELCC,PROVIDDISP,FULL_ADDRESS,UNIT_NUMBER,COMMUNITY,MUNICIPALITY
626454.063,4860267.5,101,95273,Crosby YMCA School Age,YMCA of Greater Toronto,Child Care Centre,L4C 3K8,(416) 457-9979,,Yonge Street & Bayview Avenue,Centre Based Child Care,Yes,Yes,CROSB03,190 Neal Drive,,Richmond Hill,Richmond Hill
620803.2184,4877763.7352,102,174606,Crossland Child Care Centre,York Child Development and Family Services Inc.,Child Care Centre,L3Y 1H8,(905) 898-0545,,Eagle Street/Crossland Gate,Centre Based Child Care,Yes,Yes,CROSS01,255 Brimson Drive,,Newmarket,Newmarket
622336.7857,4876948.3876,103,223764,Cuties and Patooties,10018511 Canada Corp.,Child Care Centre,L3X 1V6,(905) 252-7833,,Yonge Street & Mulock Drive,Centre Based Child Care,Yes,Yes,CUTIE01,16655 Yonge Street ,Unit 33,Newmarket,Newmarket
621258.3818,4879761.0863,104,307721,Cutie Pie Daycare & Child Development Centre,1970238 Ontario Ltd.,Child Care Centre,L3X 3C7,(905) 235-8877,,Yonge Street and Davis Drive,Centre Based Child Care,Yes,Yes,CUTIE03,199 Matthew Boyd Crescent,,Newmarket,Newmarket
622336.7857,4876948.3876,105,223764,"Kidz ""R"" Us Daycare",5001228 Ontario Inc.,Child Care Centre,L3X 1V6,(905) 235-8652,,Yonge Street and Mulock Street,Centre Based Child Care,Yes,Yes,KIDZ 05,"16655 Yonge Street, ",Unit 3,Newmarket,Newmarket
642642.7658,4857387.1258,106,349382,Upper Canada Child Care at David Suzuki PS,Upper Canada Creative Child Care Centres of Ontari,Child Care Centre,L6B 0L9,(905) 472-0555,,9th Line/14th Ave,Centre Based Child Care,Yes,Yes,UPPER14,45 Riverwalk Drive,,Markham,Markham
641787.6268,4871727.7421,107,132055,Deer Park Child Care Ltd.,Deer Park Child Care Ltd.,Child Care Centre,L4A 2X5,(905) 642-9352,,Tenth Line & Stouffville Road,Centre Based Child Care,Yes,Yes,DEER 02,12637 Tenth Line,,Stouffville,Whitchurch-Stouffville
630572.7286,4907194.8732,108,164775,Deer Park,,Child Care Centre,L4P 0L8,(905) 722-5540 ,Ext.5519,Baseline Rd & Dalton Rd,Centre Based Child Care,Yes,Yes,DEER 03,605 Varney Road,,Keswick,Georgina
623088.9884,4880852.1136,109,215738,Denne First Base,YMCA of Greater Toronto,Child Care Centre,L3Y 6L1,(905) 252-4500,,Davis Drive & Main Street North,Centre Based Child Care,Yes,Yes,DENNE03,330 Burford Street,,Newmarket,Newmarket
617079.6139,4857165.186,110,161230,Discovery Public School,,Child Care Centre,L6A 2Z2,(905) 265-7458,,Jane Street/Discovery Trail,Centre Based Child Care,Yes,Yes,DISCO03,120 Discovery Trail,,Vaughan,Vaughan
615527.759,4856905.7711,111,323167,Discovery Point Nursery and Academy,Discovery Point Nursery and Academy Inc.,Child Care Centre,L4H 4G8,(905) 727-3568,,Major Mackenzie Drive & Weston Road,Centre Based Child Care,Yes,Yes,DISCO07,10501 Weston Road ,Unit 9-13,Vaughan,Vaughan
641558.7589,4859873.1432,112,58222,Discovery Preschool On 7 Inc.,Discovery Preschool On 7 Inc.,Child Care Centre,L3P 3B4,(905) 471-6260,,Ninth line & Hwy7,Centre Based Child Care,Yes,Yes,DISCO08,6605 Highway 7 East ,Unit 6-7,Markham,Markham
617982.4423,4857103.905,113,202259,Divine Mercy School Age Program,Among Friends Day Care Centre,Child Care Centre,L6A 1Z1,(905) 552-0610 ,Ext.1,Keele Street & Rutherford,Centre Based Child Care,Yes,Yes,DIVIN03,251 Melville Avenue,,Maple,Vaughan
638441.895,4862735.307,114,337388,Upper Canada Child Care at Donald Cousens PS,Upper Canada Creative Child Care Centres of Ontari,Child Care Centre,L6E 1T5,(905) 202-4310,,Major Mackenzie Drive & Highway 48,Centre Based Child Care,Yes,Yes,UPPER15,315 Mingay Avenue,,Markham,Markham
628827.6109,4856829.3329,115,110971,Doncrest Child Care Centre,Family Day Care Services,Child Care Centre,L4B 2B1,(905) 731-9596,,Bayview Avenue & 16th Avenue,Centre Based Child Care,Yes,Yes,DONCR02,124 Blackmore Avenue,,Richmond Hill,Richmond Hill
626785.4226,4855586.7069,116,117082,EarlyON Dr James Langstaff Community Park,,EarlyON Program,L4B 4N5,(905) 948-9627,,,Centre Based Child Care,No,No,EARL139,155 Red Maple Road,,Richmond Hill,Richmond Hill
621935.25,4880724.25,117,216989,Dr. John M. Denison Child Care Centre,Denison Child Care,Child Care Centre,L3Y 8J7,(905) 836-0144,,Yonge Street & Bristol Road,Centre Based Child Care,Yes,Yes,DR. J01,135 Bristol Road,,Newmarket,Newmarket
621418.871,4856596.742,118,321992,Dr. Roberta Bondar YMCA Child Care,YMCA of Greater Toronto,Child Care Centre,L6A 0T4,(905) 303-6260,,Dufferin Street & Major MacKenzie Drive,Centre Based Child Care,Yes,Yes,DR. R02,401 Grand Trunk Avenue,,Maple,Vaughan
608350.466,4861770.644,119,216192,EarlyON Nobleton Community Park,,EarlyON Program,L0G 1N0,(905) 859-9941,,King and Highway 27,Centre Based Child Care,No,No,EARL108,15 Old King Road,,Nobleton,King
641407.688,4857991.5,120,25004,EarlyON Rouge Valley Trail - Markham East,,EarlyON Program,L3S 4B7,(905) 471-1620,,14th Avenue and Boxgrove Bypass,Centre Based Child Care,No,No,EARL111,120 Rouge Bank Drive,,Markham,Markham
625480.062,4850845.0,121,189003,EarlyON York Hills District Park,,EarlyON Program,L4J 4E5,(905) 709-6159,,Bathurst St and Clark Ave West,Centre Based Child Care,No,No,EARL114,330 York Hill Boulevard,,Thornhill,Markham
627708.938,4852861.75,122,68006,EarlyON Pomona Mills Park,,EarlyON Program,L3T 1Y7,(905) 709-6159,,,Centre Based Child Care,No,No,EARL115,200 John Street,,Thornhill,Vaughan
623439.063,4854009.0,123,217968,EarlyON Sugarbush Heritage Park,,EarlyON Program,L4J 8S1,(905) 709-6159,,,Centre Based Child Care,No,No,EARL117,91 Thornhill Woods Drive,,Thornhill,Vaughan
624629.156,4866530.0,124,78965,EarlyON Ozark Park,,EarlyON Program,L4E 3G4,(905) 948-9627,,Yonge street and King Road,Centre Based Child Care,No,No,EARL127,70 Old Colony Road,,Richmond Hill,Richmond Hill
641536.9576,4869550.0594,125,329996,EarlyON Byers Pond Park Mobile,,EarlyON Program,L4A 0M4,(289) 612-1777,,Byers Pond Way & Dufferin Drive,Centre Based Child Care,No,No,EARL123,Byer's Pond Way,,Whitchurch-Stouffville,Whitchurch-Stouffville
625444.4564,4858662.4358,126,103683,EarlyON Central Public Library Mobile,,EarlyON Program,L4C 0H5,(905) 948-9627,,Major Mackenzie and Yonge Street,Centre Based Child Care,No,No,EARL128,1 Atkinson Street,,Richmond Hill  ON,Richmond Hill
626917.9216,4860851.5815,127,91736,EarlyON Richmond Hill Centre (Unit 17),,EarlyON Program,L4C 3N8,(905) 948-9627,,Bayview Avenue and Taylor Mills Drive North,Centre Based Child Care,No,No,EARL129,"10610 Bayview Avenue, ",Unit 17,Richmond Hill,Richmond Hill
643170.2945,4861384.5516,128,383707,EarlyON Cornell Rouge Woods Park,,EarlyON Program,L6B 0V5,(905) 471-1620,,Jack Leaf Rd & William Forester Rd,Centre Based Child Care,No,No,EARL132,William Forester Road,,"Markham, ON",Markham
619351.956,4857353.17,129,123472,EarlyON Maple Public Library,,EarlyON Program,L6A 1G3,(905) 859-9941,,Keele Street & McNaughton Road,Centre Based Child Care,No,No,EARL133,10190 Keele Street,,Maple,Vaughan
610588.031,4855064.0,130,207453,EarlyON Kleinburg Public Library,,EarlyON Program,L0J 1C0,(866) 404-2077 ,Ext.215,Islington Avenue & Rushworth Crescent,Centre Based Child Care,No,No,EARL134,10341 Islington Avenue,,Kleinburg,Vaughan
631925.9832,4858071.307,131,31778,ON y va Markham,,Child Care Centre,L3R 9C1,,,,Centre Based Child Care,No,No,ON Y 02,111 John Button Boulevard,,"Markham, ON",Markham
610858.0375,4854423.014,132,210080,ON y va  Klieinburg,,Child Care Centre,L0J 1C0,,,,Centre Based Child Care,No,No,ON Y 01,10110 Islington Avenue,,Kleinburg,King
639376.8537,4856892.6915,133,408462,EarlyON Aaniin Community Centre,,EarlyON Program,L3S 3K5,(905) 479-0002 ,Ext.239,,Centre Based Child Care,No,No,EARL138,5665 14th Avenue,,Markham,Markham
628685.2655,4862249.364,134,349383,EarlyON Richmond Green Library,,EarlyON Program,L4S 2T9,(905) 948-9627,,,Centre Based Child Care,No,No,EARL140,1 William F. Bell Parkway,,Richmond Hil,Richmond Hill
623774.3842,4867751.7038,135,340429,EarlyON Oak Ridges Library Mobile,,EarlyON Program,L4E 4R1,(905) 948-9627,,Yonge Street and Bloomington,Centre Based Child Care,No,No,EARL141,34 Regatta Avenue,,RichmondHill,Richmond Hill
619000.6427,4865342.5053,136,141105,EarlyON King City Public Library,,EarlyON Program,L7B 1K9,(905) 859-9941,,King road and Keel,Centre Based Child Care,No,No,EARL145,"1970 King Rd, King City",,Kiing City,King
635663.9646,4888832.3366,137,363996,EarlyON Robert Munsch Public School mobile,,EarlyON Program,L0G 1M0,(905) 853-0754,,,Centre Based Child Care,No,No,EARL148,"395 King Street East , Mount Albert",,Mount Albert,East Gwillimbury
615866.332,4856773.108,138,336268,EarlyON St Mary of the Angels,,EarlyON Program,L4H 0E4,(866) 404-2077 ,Ext.215,Weston Rd and Teston Rd,Centre Based Child Care,No,No,EARL149,351 Vellore Park Ave,,Woodbridge,Vaughan
622336.7857,4876948.3876,139,223764,EarlyON Newmarket Welcome Centre,,EarlyON Program,L3X 1V6,(905) 853-0754,,Yonge and Mulock,Centre Based Child Care,No,No,EARL150,16655 Yonge Street,,Newmarket,Newmarket
642068.6049,4861637.5965,140,46024,Early Blooms Montessori,Vonam Inc.,Child Care Centre,L6B 1E3,(289) 818-7656,,Bur Oak Avenue and 16th Avenue,Centre Based Child Care,Yes,Yes,EARLY04,2780 Bur Oak Avenue,,Markham,Markham
621677.6902,4878494.0535,141,205637,EarlyON Newmarket Centre,,EarlyON Program,L3Y 7R8,(905) 853-0754,,Yonge Street & Millard Avenue West,Centre Based Child Care,No,No,EARLY05,"17310 Yonge Street, ",Unit 6 & 7,Newmarket,Newmarket
624090.8423,4880744.0811,142,167346,EarlyON Meadowbrook Public School Mobile,,EarlyON Program,L3Y 3L5,(905) 853-0754,,Patterson Street & Mountview Place,Centre Based Child Care,No,No,EARLY08,233 Patterson Street,,Newmarket,Newmarket
634981.4817,4855479.1057,143,67130,EarlyON Markham Centre,,EarlyON Program,L3R 0B2,(905) 479-0002 ,Ext.239,Birchmount Road & 14th Avenue,Centre Based Child Care,No,No,EARLY15,3990 14th Avenue,,Markham,Markham
635581.276,4858743.991,144,345360,EarlyON Toogood Pond Mobile,,EarlyON Program,L3R 2H2,(905) 479-0002 ,Ext.239,Main Street & Carlton Road,Centre Based Child Care,No,No,EARLY18,280 Main Street Unionville,,Unionville,Markham
628660.25,4853143.25,145,2687,EarlyON Thornhill Centre,,EarlyON Program,L3T 4P1,(905) 709-6159,,John Street & Bayview Avenue,Centre Based Child Care,No,No,EARLY25,7755 Bayview Avenue,,Thornhill,Vaughan
621693.6367,4854766.4429,146,246366,EarlyON Forest Run Public School Mobile,,EarlyON Program,L4K 5H3,(905) 709-6159,,Forest Run Boulevard & Ten Oaks Boulevard,Centre Based Child Care,No,No,EARLY26,200 Forest Run Boulevard,,Maple,Vaughan
623546.3111,4850389.9917,147,173094,EarlyON Charlton Public School Mobile,,EarlyON Program,L4J 6J5,(905) 709-6159,,Joseph Aaron Boulevard & Charlton Avenue,Centre Based Child Care,No,No,EARLY27,121 Joseph Aaron Boulevard,,Thornhill,Vaughan
626738.0983,4852098.4509,148,224819,EarlyON Thornhill Public School Mobile,,EarlyON Program,L4J 1V8,(905) 709-6159,,Arnold Avenue & Yonge Street,Centre Based Child Care,No,No,EARLY28,7554 Yonge Street,,Thornhill,Vaughan
623705.8496,4872759.1751,149,360162,EarlyON Sheppard's Bush Park Mobile,,EarlyON Program,L4G 7B3,(866) 404-2077 ,Ext.217,Industrial Parkway South & Mary Street,Centre Based Child Care,No,No,EARLY38,Industry Street,,Aurora,Aurora
623878.094,4871971.5,150,171427,EarlyON Aurora Centre,,EarlyON Program,L4G 6X6,(866) 404-2077 ,Ext.217,Englehard Drive & Industrial Parkway South,Centre Based Child Care,No,No,EARLY42,"40 Englehard Drive , ",Unit 1,Aurora,Aurora
622199.063,4871194.0,151,140911,EarlyON Regency Acres Public School Mobile,,EarlyON Program,L4G 2C7,(866) 404-2077 ,Ext.217,Murray Drive & Glass Drive,Centre Based Child Care,No,No,EARLY43,123 Murray Drive,,Aurora,Aurora
623954.874,4874635.5,152,129630,EarlyON St. Jerome Catholic School Mobile,,EarlyON Program,L4G 2C7,(866) 404-2077 ,Ext.217,Bridgenorth Drive & Hollandview Trail,Centre Based Child Care,No,No,EARLY47,20 Bridgenorth Drive,,Aurora,Aurora
626917.9216,4860851.5815,153,91736,EarlyON Richmond Hill Centre (unit 9),,EarlyON Program,L4C 3N8,(905) 948-9627,,Bayview Avenue & Taylor Mills Drive North,Centre Based Child Care,No,No,EARLY49,"10610 Bayview Avenue, ",Unit 9,Richmond Hill,Richmond Hill
625505.75,4855839.0,154,116953,EarlyON Richvale Library Mobile,,EarlyON Program,L4C 6T7,(905) 948-9627,,Pearson Avenue & Scott Drive,Centre Based Child Care,No,No,EARLY53,40 Pearson Avenue,,Richmond Hill,Richmond Hill
624480.656,4867841.999,155,75273,EarlyON Our Lady of Annunciation Catholic School Mobile,,EarlyON Program,L4E 2L3,(905) 948-9627,,Lorridge Street & Bayswater Avenue,Centre Based Child Care,No,No,EARLY61,30 Bayswater Avenue,,Richmond Hill,Richmond Hill
623803.281,4878711.0,156,164327,EarlyON Fairy Lake Park,,EarlyON Program,L3Y 1M5,(905) 853-0754,,Water Street & Eagle Street,Centre Based Child Care,No,No,EARLY65,520 Water Street,,Newmarket,Newmarket
622555.063,4877522.25,157,115434,EarlyON St. Paul's Catholic Elementary School,,EarlyON Program,L3Y 1B2,(905) 853-0754,,William Roe Boulevard & Sandford Street,Centre Based Child Care,No,No,EARLY69,140 William Roe Boulevard,,Newmarket,Newmarket
639870.719,4856071.0,158,6250,EarlyON Markham Gateway Public School Mobile,,EarlyON Program,L3S 3X3,(905) 471-1620,,Fonda Road & Golden Avenue,Centre Based Child Care,No,No,EARLY72,30 Fonda Road,,Markham,Markham
642242.458,4860531.5514,159,384642,EarlyON Cornell Public Library Mobile,,EarlyON Program,L6B 0T2,(905) 471-1620,,Highway 7 & Bur Oak Avenue,Centre Based Child Care,No,No,EARLY73,3201 Bur Oak Avenue,,Markham,Markham
631794.3589,4859061.1615,160,40506,EarlyON Ashton Meadows Public School,,EarlyON Program,L6C 1T5,(905) 471-1620,,16th Avenue & highway 404,Centre Based Child Care,No,No,EARLY80,230 Calvert Road,,Makham,Markham
639917.2337,4859283.7802,161,45926,EarlyON Markham Library,,EarlyON Program,L3P 3A7,(905) 471-1620,,Highway 7 & Markham Road,Centre Based Child Care,No,No,EARLY81,6031 Highway 7 East,,Marham,Markham
635765.0998,4858790.6338,162,9043,EarlyON Unionville Library,,EarlyON Program,L3R 5C4,(905) 471-1620,,Main Street & Carlton Road,Centre Based Child Care,No,No,EARLY82,15 Library Lane,,Unionville,Markham
625782.4368,4862049.7975,163,86637,EarlyON H.G. Bernard Public School Mobile,,EarlyON Program,L4S 1E1,(905) 948-9627,,Bayview Avennue & Elgin Mills Road,Centre Based Child Care,No,No,EARLY83,245 Bernard Avenue,,Richmond  Hill,Richmond Hill
608350.466,4861770.644,164,216192,EarlyON King Centre,,EarlyON Program,L0G 1N0,(905) 859-9941,,King & Highway 27,Centre Based Child Care,No,No,EARLY84,15 Old King Road,,Nobleton,King
639817.4979,4859701.4979,165,55587,EarlyON Markham East Centre,,EarlyON Program,L3P 2R5,(905) 471-1620,,Washington Street & Joseph Street,Centre Based Child Care,No,No,EARLY85,40 Washington Street,,Markham,Markham
639908.875,4855567.0,166,51995,EarlyON Parkland Public School Mobile,,EarlyON Program,L3S 3B8,(905) 471-1620,,Elson Street & Coxworth Avenue,Centre Based Child Care,No,No,EARLY86,18 Coxworth Avenue,,Markham,Markham
639643.2094,4869942.2292,167,195597,EarlyON Stouffville Centre,,EarlyON Program,L4A 1T2,(289) 612-1777,,Main Street and Ninth Line,Centre Based Child Care,No,No,EARLY87,5892 Main Street,,Stouffville,Whitchurch-Stouffville
630572.7286,4907194.8732,168,164775,EarlyON The Link Mobile,,EarlyON Program,L0E 1R0,(905) 476-3834,,Dalton Road & High Street,Centre Based Child Care,No,No,EARLY89,20849 Dalton Road,,Sutton West,Georgina
623202.361,4896851.1405,169,241923,EarlyON Jersey Public School Mobile,,EarlyON Program,L4P 3E9,(905) 476-3834,,Glenwoods Avenue & Lowndes Avenue,Centre Based Child Care,No,No,EARLY90,176 Glenwoods Avenue,,Keswick,Georgina
623020.188,4897886.2614,170,143336,EarlyON Keswick Centre,,EarlyON Program,L4P 3M8,(905) 476-3834,,Biscayne Boulevard & Hodgins Avenue,Centre Based Child Care,No,No,EARLY91,70 Biscayne Boulevard,,Keswick,Georgina
637909.174,4861952.978,171,336320,EarlyON San Lorenzo Ruiz Catholic School Mobile,,EarlyON Program,L6E 0E1,(289) 612-1777,,Bur Oak Avenue & Roy Rainey Avenue,Centre Based Child Care,No,No,EARLY93,840 Bur Oak Avenue,,Markham,Markham
638446.2924,4862071.0403,172,350404,EarlyON Whitchurch-Stouffville Public Library Mobile,,EarlyON Program,L3R 8T6,(289) 612-1777,,Park Drive & Hoover Park Drive,Centre Based Child Care,No,No,EARLY94,2 Park Drive,,Stouffville,Whitchurch-Stouffville
638446.2924,4862071.0403,173,350404,EarlyON Wismer Park Mobile,,EarlyON Program,L6E 0E1,(289) 612-1777,,Bur Oak Avenue & Mingay Avenue,Centre Based Child Care,No,No,EARLY95,980 Bur Oak Avenue,,Markham,Markham
613179.7908,4849037.5666,174,366422,EarlyON Veterans Park Mobile,,EarlyON Program,L4L 4K9,(800) 404-2077 ,Ext.215,Woodbridge Avenue & Clarence Street,Centre Based Child Care,No,No,EARLY97,"140 Woodbridge Avenue, ",Unit E,Woodbridge,Vaughan
619823.0708,4865480.052,175,152629,EarlyON King Bible Church,,EarlyON Program,L7B 1J4,(905) 859-9941,,Dufferin Street & King Road,Centre Based Child Care,No,No,EARLY98,1555 King Road,,King City,King
617940.0148,4854622.0119,176,336342,EarlyON Vaughan Community Health Centre,,EarlyON Program,L6A 4H7,(866) 404-2077 ,Ext.215,Jane Street & Rutherford Road,Centre Based Child Care,No,No,EARL100,"9401 Jane Street , Suite 106",,Maple,Vaughan
617886.6616,4853991.5666,177,352409,EarlyON Welcome Centre Vaughan,,EarlyON Program,L4K 0A4,(866) 404-2077 ,Ext.215,Jane Street & Rutherford Road,Centre Based Child Care,No,No,EARL104,"9100 Jane Street , Building H, ",Units 56-67,Vaughan,Vaughan
613179.7908,4849037.5666,178,366422,EarlyON Woodbridge Centre,,EarlyON Program,L4L 4K9,(866) 404-2077 ,Ext.215,Woodbridge Avenue & Clarence Street,Centre Based Child Care,No,No,EARL105,"140 Woodbridge Avenue, ",Unit E,Woodbridge,Vaughan
620661.0404,4879528.8027,179,392055,EarlyON Environmental Park,,EarlyON Program,L3X 3H1,(905) 853-0754,,,Centre Based Child Care,No,No,EARL109,325 woodspring Avenue,,Newmarket ON,Newmarket
635162.7682,4888865.5043,180,257509,EarlyON Mount Albert Library,,EarlyON Program,L0G 1M0,(905) 853-0754,,,Centre Based Child Care,No,No,EARLY88,19300 Centre Street,,Mount Albert,East Gwillimbury
625149.8866,4882654.2196,181,148104,East Gwillimbury Children's Centre,,Child Care Centre,L9N 0M3,(365) 337-0048 ,Ext.100,Leslie Street & Green Lane East,Centre Based Child Care,Yes,Yes,EAST 01,18335 Leslie Street,,East Gwillimbury,East Gwillimbury
625460.375,4884440.0,182,221241,Ecole Elementaire Chantal-Benoit,Conseil Scolaire Viamonde,Child Care Centre,L0G 1V0,(437) 488-1634,,Leslie Street & Mount Albert Road,Centre Based Child Care,Yes,No,ECOLE01,53 Morton Avenue,,East Gwillimbury,East Gwillimbury
616408.25,4852298.0,183,183981,EDU Children's Academy,EDU CHILDREN'S ACADEMY LTD.,Child Care Centre,L4L 1A6,(647) 567-4102,,Weston Road & Langstaff Road,Centre Based Child Care,No,No,EDU C01,8787 Weston Road ,Unit 8-13,Woodbridge,Vaughan
624720.4118,4884797.891,184,423772,Eh to Zed Preschool Canada Sharon,2648029 Ontario Inc.,Child Care Centre,L0G 1V0,(905) 478-2793,,Mt Albert & Leslie St,Centre Based Child Care,Yes,Yes,EH TO04,19105 Leslie Street East ,Unit E1,Sharon,East Gwillimbury
625182.9637,4851086.6812,185,121396,Eitz Chaim Schools Spring Farm,Eitz Chaim Schools,Child Care Centre,L4J 2P6,(905) 764-6633 ,Ext.1005,Bathurst Street & Clark Street,Centre Based Child Care,Yes,Yes,EITZ 03,80 Yorkhill Boulevard,,Thornhill,Vaughan
611006.1103,4852145.1155,186,249815,Upper Canada Child Care at Elder's Mills PS,Upper Canada Creative Child Care Centres of Ontari,Child Care Centre,L4H 1L1,(905) 893-9043,,Rutherford Road & Highway 7,Centre Based Child Care,Yes,Yes,UPPER16,120 Napa Valley Avenue,,Woodbridge,Vaughan
640180.313,4856580.0,187,72602,Upper Canada Child Care at Ellen Fairclough PS,Upper Canada Creative Child Care Centres of Ontari,Child Care Centre,L3S 4K9,(905) 472-1866,,Markham Road & 14th Avenue,Centre Based Child Care,Yes,Yes,UPPER17,33 Brando Avenue,,Markham,Markham
633689.9813,4861532.7216,188,29107,EarlyON Angus Glen Library Mobile,,EarlyON Program,L6C 1P8,(289) 612-1777,,Major Mackenzie Drive & Angus Glen Boulevard,Centre Based Child Care,No,No,EARL107,3990 Major Mackenzie Drive East,,Markham,Markham
623903.75,4867839.5,189,75452,Eureka Montessori,1619722 Ontario Ltd.,Child Care Centre,L4E 3L3,(905) 773-7999,,Yonge Street & King Road,Centre Based Child Care,No,Yes,EUREK01,13345 Yonge Street,,Richmond Hill,Richmond Hill
607950.313,4862931.25,190,131683,EYES Green Cube Childcare,Green Cube Childcare Centre Inc.,Child Care Centre,L0G 1N0,(416) 707-1458,,King Road & Highway 27,Centre Based Child Care,Yes,Yes,EYES 01,191 Mactaggart Drive ,Unit 302/303,Nobleton,King
624192.9111,4864895.9389,191,425096,EYES Childcare Richmond Hill Montessori,14340884 Canada Inc.,Child Care Centre,L4E 0W5,(905) 773-1164,,Yonge Street & Silver Maple Rd,Centre Based Child Care,No,No,EYES 02,12270 Yonge Street ,Unit A6 A6-A8,Richmond Hill,Richmond Hill
623873.5095,4897659.3452,192,190581,Fairwood Public School,,Child Care Centre,L4P 3Y5,(905) 722-5540 ,Ext.5519,Biscayne Blvd & Woodbine Ave,Centre Based Child Care,Yes,Yes,FAIRW02,201  Fairwood Drive,,Keswick,Georgina
625526.5658,4859830.1806,193,356942,Faith Infant & Early Education Centre,Faith Infant and Early Education Centre,Child Care Centre,L4C 2R3,(905) 737-4493 ,Ext.0,Yonge Street and Major Mackenzie Road East,Centre Based Child Care,Yes,Yes,FAITH02,43 Crosby Avenue,,Richmond Hill,Richmond Hill
641101.438,4856112.4313,194,11884,Cedarwood Before & After School Program,Family Day Care Services,Child Care Centre,L3S 4R8,(905) 472-9685,,Denison Street & Markham Road,Centre Based Child Care,Yes,Yes,CEDAR01,399 Elson Street,,Markham,Markham
623615.656,4861209.0,195,90079,Father Henri Nouwen,Among Friends Day Care Centre,Child Care Centre,L4C 0E6,(905) 552-0610 ,Ext.3,Yonge Street & Elgin Mills Road,Centre Based Child Care,Yes,Yes,FATHE05,121 Larratt Lane,,Richmond Hill,Richmond Hill
619788.813,4855184.75,196,226741,Father John Kelly Child Care Centre,Community of Maple Child Care Services,Child Care Centre,L6A 1P4,(905) 832-5752,,Keele Street & Rutherford Road,Centre Based Child Care,Yes,Yes,FATHE07,9350 Keele Street,,Maple,Vaughan
622288.632,4865813.612,197,318768,Upper Canada Child Care at Father Frederick McGinn CES,Upper Canada Creative Child Care Centres of Ontari,Child Care Centre,L4E 4W2,(905) 223-4173,,Bathurst Street & King Road,Centre Based Child Care,Yes,Yes,UPPER18,61 Brockdale Street,,Richmond Hill,Richmond Hill
632057.3417,4858182.9417,198,372807,First Academy,1857361 Ontario Ltd.,Child Care Centre,L3R 9C2,(905) 479-6904,,Woodbine Avenue & Sixteenth Avenue,Centre Based Child Care,Yes,No,FIRST05,131 John Button Boulevard,,Markham,Markham
624802.3518,4862495.7684,199,424059,First Roots Early Education Academy,First Roots Early Education Academy Ltd.,Child Care Centre,L4S 1Z6,(905) 884-9339,,Yonge Street & Nottingham,Centre Based Child Care,Yes,Yes,FIRST09,11384 Yonge Street,,Richmond Hill,Richmond Hill
637457.3484,4860946.6477,200,6158,Forever Blessed Child Care Inc.,Forever Blessed Child Care Inc.,Child Care Centre,L3P 3J3,(905) 471-0222,,McCowan Road & 16th Avenue,Centre Based Child Care,No,No,FOREV01,9377 McCowan Road,,Markham,Markham
623075.7091,4857870.9956,201,343024,Four Seasons Childcare,Four Seasons Childcare Corporation,Child Care Centre,L6A 4P8,(905) 303-4333,,Major Mackenzie Drive & Bathurst St,Centre Based Child Care,Yes,Yes,FOUR 01,965 Major Mackenzie Drive ,Unit 5,Maple,Vaughan
637728.7879,4861247.6142,202,391997,Upper Canada Child Care at Fred Varley PS,Upper Canada Creative Child Care Centres of Ontari,Child Care Centre,L6E 0J8,(905) 294-9158,,Bur Oak Avenue & McCowan Road,Centre Based Child Care,Yes,Yes,UPPER19,81 Alexandar Lawrie Avenue,,Markham,Markham
641279.3115,4870338.2113,203,175515,Friends,605061 Ontario Ltd,Child Care Centre,L4A 5Z4,(905) 640-2857,,Stouffville Road & 9th Line,Centre Based Child Care,Yes,Yes,FRIEN03,6551 Main Street,,Stouffville,Whitchurch-Stouffville
640035.5725,4861229.1456,204,28975,Friendships,605061 Ontario Ltd,Child Care Centre,L3P 4P8,(905) 294-6770,,16th Avenue & Highway 48,Centre Based Child Care,Yes,Yes,FRIEN04,15 Larkin Avenue,,Markham,Markham
622840.7347,4856855.1027,205,356262,Fun on the Run - Nellie McClung,,Child Care Centre,L6A 4M1,(905) 265-7458,,Rutherford Road/Thomas Cook,Centre Based Child Care,Yes,Yes,FUN O10,360 Thomas Cook Avenue,,Maple,Vaughan
618579.3561,4858462.4562,206,224846,Fun On The Run - Holy Jubilee,,Child Care Centre,L6A 2S8,(905) 265-7458,,Teston Road/Jane,Centre Based Child Care,Yes,Yes,FUN O03,400 St. Joan of Arc Avenue,,Vaughan,Vaughan
612216.4017,4848301.3615,207,203128,Fun on the Run - St. Peter CES,,Child Care Centre,L4L 1G2,(905) 265-7458,,Highway 7 & Martingrove Road,Centre Based Child Care,Yes,Yes,FUN O04,120 Andrew Park Crescent,,Woodbridge,Vaughan
614990.4729,4856093.9346,208,387943,Fun on the Run  - Guardian Angel,,Child Care Centre,L4H 0Z5,(905) 265-7458,,Major Mackenzie Drive/Lawford,Centre Based Child Care,Yes,Yes,FUN O05,200 Lawford Drive,,Vaughan,Vaughan
614888.7025,4856409.0886,209,392596,Fun on the Run Johnny Lombardi,,Child Care Centre,L4H 4C3,(905) 265-7458,,Major Mackenzie Drive/Lawford,Centre Based Child Care,Yes,Yes,FUN O08,350 Lawford Road,,Woodbridge,Vaughan
